type,k,id,label,members,strategy,n_seeds,val_auc_m,val_auc_s,val_acc_m,val_acc_s,test_auc_m,test_auc_s,test_acc_m,test_acc_s,test_f1_m,test_f1_s,test_d_auc_m,test_d_auc_s,test_d_acc_m,test_d_acc_s,test_d_f1_m,test_d_f1_s,delta_auc_m,delta_auc_s,df40_auc_m,df40_auc_s
multi_model,2,dino_resnet,DINO + ResNet,dino + resnet,mean,5,0.9909450861546208,0.0011201960652332252,0.9601758921846054,0.0069381372261349715,0.9036503994849229,0.0050015060439923854,0.8012882872484844,0.004908918086415726,0.8035382882859452,0.007516568427686914,0.8167126609926006,0.008302147986765618,0.7209868807949569,0.00408102914284645,0.7198489402211171,0.006942068978890389,-0.0869377384923223,0.008173991638784035,0.7373623480186521,0.018906764380990898
multi_model,2,dino_resnet,DINO + ResNet,dino + resnet,max,5,0.988211263212024,0.0014092044105728644,0.9552859265894422,0.0056868551804746545,0.8931273627941531,0.008647452958422366,0.7991283175869895,0.007668607228536813,0.8048374751078136,0.009185664312756749,0.8074634757724354,0.007034078354362474,0.7185598003814297,0.0035293355038923846,0.7226484106507955,0.009312480694990938,-0.08566388702171775,0.006830474741611679,0.6921670522489076,0.01900798769405435
multi_model,3,clip_dino_resnet,CLIP + DINO + ResNet,clip + dino + resnet,stacking,5,0.9963691033180826,0.0004181403152809691,0.9768476483242061,0.0013210373831255915,0.9346736622802899,0.0032257032621816947,0.8486757132571572,0.008399822180878824,0.8553003841333308,0.009999231822838161,0.8626393996180015,0.0076107071559274935,0.7658713801271799,0.011321523473027489,0.769359476753084,0.014899800588293086,-0.07203426266228816,0.006635004494663498,0.8081152719888374,0.015209931609966521
multi_model,3,clip_dino_resnet,CLIP + DINO + ResNet,clip + dino + resnet,geometric,5,0.9956953042233607,0.0007474890258782725,0.9712478709038226,0.003334916380550892,0.9346668881391075,0.005270221303667209,0.8397720215227512,0.0041774816782913175,0.8457571994364901,0.003749502023082988,0.8699560838604958,0.009840648534389977,0.7677609413730372,0.007204078894325648,0.7722494938868973,0.005824026000535273,-0.06471080427861173,0.006659527293695271,0.800948353002307,0.0143269796410815
multi_model,3,clip_dino_resnet,CLIP + DINO + ResNet,clip + dino + resnet,mean,5,0.9957209264454345,0.000508149736713841,0.9726199928068784,0.001496134999198084,0.9291639081378055,0.003044098115333688,0.8450328941944631,0.010836102591877431,0.8530506764353761,0.012345590968919339,0.8555456842550898,0.006326844944122158,0.7624791834984913,0.010700677324460322,0.7705929971254568,0.01565309853394517,-0.07361822388271581,0.0061354275793429145,0.7943037476862544,0.011337842260376759
multi_model,3,clip_dino_resnet,CLIP + DINO + ResNet,clip + dino + resnet,max,5,0.9937525433089609,0.0007375845510287018,0.9677653142240589,0.003503520943882124,0.9204417627918146,0.004975132531125477,0.8311332420979737,0.0032475322614169493,0.8389904902102693,0.0049279370160558575,0.8413017675102046,0.0070250128682667464,0.7439034444096357,0.0038656989668268064,0.7477608236940281,0.007077567411342414,-0.07913999528161,0.006572723966356017,0.7547834603523926,0.01372746979198065
multi_model,3,clip_dino_vit,CLIP + DINO + ViT,clip + dino + vit,stacking,5,0.9961497325700212,0.0004285845615061339,0.9764160610193875,0.001619917753974068,0.9322101060682624,0.0038633706727902806,0.8497617438045145,0.009581792585784593,0.8562539887301209,0.011576233961616085,0.8640249415518093,0.009858579789440445,0.7663407475803392,0.013034821945783308,0.7687594483572234,0.01576215711139016,-0.06818516451645304,0.0070249824430200555,0.816431540741205,0.017276764995179255
multi_model,3,clip_dino_vit,CLIP + DINO + ViT,clip + dino + vit,geometric,5,0.9950350800263476,0.0006385427815393229,0.9688252817871514,0.003029573809778512,0.9317352432889011,0.0058611847232562745,0.8417967869764272,0.005360406317235761,0.8482223931396865,0.0053851621358882214,0.8718758815327478,0.010202250087025588,0.771613711685271,0.009084514104242441,0.7744863034808811,0.009337675680096639,-0.05985936175615334,0.005455422741414991,0.8111175903636884,0.015435592742464874
multi_model,3,clip_dino_vit,CLIP + DINO + ViT,clip + dino + vit,mean,5,0.9946650301339022,0.0005124028189617324,0.970402339800357,0.0018901961105529112,0.9237895661664883,0.003231890118513019,0.8441908907539009,0.008175872887710083,0.8517759754978076,0.010105581778627543,0.8591234103382634,0.007964635618141999,0.7680379451158854,0.011418491516213833,0.7724068796939224,0.013642261656073303,-0.06466615582822502,0.005245325906644797,0.80754298574047,0.014035811399980766
multi_model,3,clip_dino_vit,CLIP + DINO + ViT,clip + dino + vit,max,5,0.9936118028721379,0.0008622025203857386,0.9677625998384942,0.005146780318785136,0.9202785423319403,0.0033217354348712065,0.8272441974860811,0.0066874654411640646,0.8324593318541972,0.008055021480723547,0.8520740120222754,0.009481829114893836,0.7473451059924044,0.0073899405721960364,0.7444101760733002,0.009907620475466805,-0.06820453030966496,0.006570346892042854,0.8065432901123906,0.014281444538503732
