model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
resnet,phase,scratch,celeb_df_video,0.6131320224719101,0.014959508031998334,0.6611969111969112,0.007136767378641829,0.7916386844420337,0.005997919022588386,0.663772022387542,0.0055879081563230725,0.9808823529411765,0.02233487401940105,0.050561797752808925,0.03998905712371277,0.0,0.0
resnet,srm,finetune_robust,celeb_df_video,0.6551718440185063,,0.696911196911197,,0.797940797940798,,0.7093821510297483,,0.9117647058823528,,0.2865168539325842,,0.0,
vit,complex,finetune,celeb_df_video,0.5014970257766027,0.018976651266635922,0.6563706563706564,0.0,0.7925407925407926,0.0,0.6563706563706564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vit,concat,finetune,celeb_df_video,0.587633840052875,0.022616603515065215,0.6598455598455598,0.0016151737963978102,0.7926496247619808,0.001595657389620359,0.6606724625237882,0.002316711982841061,0.9905882352941177,0.008921029934178306,0.02808988764044938,0.01820432780451647,0.0,0.0
vit,concat_frequency,finetune,celeb_df_video,0.45225380039656315,0.014091785540643477,0.34324324324324323,0.0008633467094593797,0.5110659058959729,0.000957812959848569,0.34337542848181146,0.0005677715303988361,0.9988764044943821,0.002512435929775094,0.0,0.0,0.0,0.0
vit,frequency_3,finetune,celeb_df_video,0.556645736946464,0.020314835125990766,0.6463320463320463,0.010160384067135776,0.7844961900444359,0.008644889856223633,0.6535713673811142,0.002470666162073358,0.9811764705882353,0.021472602645228177,0.00674157303370784,0.012179485049819536,0.0,0.0
vit,magnitude,finetune,celeb_df_video,0.5533906146728353,0.02728873704008011,0.6517374517374518,0.006344276727859098,0.7881440089496852,0.0048766453758717875,0.6559725227905396,0.002189574993607395,0.9870588235294118,0.011314931800983093,0.01123595505617972,0.007945020013331977,0.0,0.0
vit,none,finetune,celeb_df_video,0.6944756554307117,0.04215138882158382,0.6795366795366795,0.0054602840246065305,0.7929785015105807,0.007271114996503116,0.6888791038952738,0.015432652209903346,0.9362745098039215,0.04349230002513498,0.1891385767790262,0.09021476057559673,0.0,0.0
vit,none,finetune_robust,celeb_df_video,0.6712326503635162,0.019490367407485745,0.6743886743886743,0.012371289411271994,0.7933608998138264,0.00847112589116038,0.6798405180799826,0.006240163987180461,0.9524509803921569,0.01445870706250259,0.1432584269662921,0.018376884532355194,0.0,0.0
vit,phase,finetune,celeb_df_video,0.5392300066093852,0.012012861250896656,0.6563706563706564,0.0,0.7925407925407926,0.0,0.6563706563706564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xception,complex,finetune,celeb_df_video,0.5628122934567086,0.014634032130065767,0.6563706563706564,0.0,0.7925407925407926,0.0,0.6563706563706564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xception,concat,finetune,celeb_df_video,0.5844216787838731,0.01852743161342165,0.6694980694980694,0.0044022217185294655,0.7980239480904403,0.0015694504798573197,0.6663069474807521,0.004016576956824357,0.9947058823529412,0.005261336417646595,0.048314606741572994,0.021612791080529607,0.0,0.0
xception,concat_frequency,finetune,celeb_df_video,0.45784534038334435,0.020570246565483608,0.3416988416988417,0.002364372338593822,0.5084975358268661,0.0030150096020760677,0.3419882453400443,0.0017204229274601155,0.9910112359550561,0.008520084768597207,0.00176470588235292,0.001610948698544587,0.0,0.0
xception,frequency_3,finetune,celeb_df_video,0.5515465961665564,0.013244076900235447,0.6177606177606177,0.010123637530599899,0.7467928972891497,0.01037460107947833,0.6605640934132909,0.005742622871244077,0.8594117647058823,0.028164740282056767,0.15617977528089882,0.03920527263453462,0.0,0.0
xception,magnitude,finetune,celeb_df_video,0.5329940515532056,0.016474781226610148,0.6216216216216216,0.011900413133144718,0.7515198135168774,0.015494720896521633,0.6601318038686459,0.004388441691990972,0.8735294117647058,0.04460514967089143,0.14044943820224715,0.05475727160005035,0.0,0.0
xception,none,finetune,celeb_df_video,0.6556400088125137,0.02366995819034459,0.6615186615186616,0.00943118196167887,0.7928405818718116,0.0051895000243950655,0.6626504838027684,0.006050834993365935,0.9867647058823529,0.008054743492723011,0.04026217228464415,0.026687857169909856,0.0,0.0
xception,none,finetune_robust,celeb_df_video,0.59029521921128,0.029941166007173142,0.666023166023166,0.007325739753285795,0.7931246545581678,0.005280069553170425,0.6682476817707562,0.003878394473519238,0.9754901960784313,0.012707334702760482,0.07490636704119844,0.01902385782651729,0.0,0.0
xception,phase,finetune,celeb_df_video,0.5614210178453404,0.0073907587751815065,0.6544401544401545,0.0019305019305019128,0.7905438190266565,0.0012661591344809231,0.6564371296860595,0.0014407415374938378,0.9935294117647059,0.004362469698291542,0.00674157303370782,0.009231279059075819,0.0,0.0
xception,srm,finetune_robust,celeb_df_video,0.5397719762062128,,0.6428571428571429,,0.7649301143583227,,0.6733780760626398,,0.8852941176470588,,0.1797752808988764,,0.0,
