model_family,fourier_mode,regime,split,auc_mean,auc_std,acc_mean,acc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,loss_mean,loss_std
mobilenet,concat_frequency,finetune,celeb_df_frame,0.45302136300212964,0.006186606082164324,0.4325611325611326,0.017882372289440725,0.4050171646279465,0.017643442764381737,0.3167604592547846,0.004561019668431186,0.5638951310861423,0.05658009680595144,0.36380392156862745,0.055723303071428844,4.754104353951627,2.0660816409138545
mobilenet,dtcwt,finetune_robust,celeb_df_frame,0.5516883674818241,,0.546975546975547,,0.6248934356351236,,0.6844070961718021,,0.5749019607843138,,0.4936329588014981,,0.0,
mobilenet,frequency_3,finetune,celeb_df_frame,0.5566653007270325,0.015620962758282808,0.5613899613899613,0.02333752476194892,0.6442553000142297,0.03541709163193975,0.6872572649623854,0.005161436442968583,0.608313725490196,0.05843443208202628,0.47176029962546817,0.04548179891714898,0.0,0.0
mobilenet,magnitude,finetune,celeb_df_frame,0.5451291327017699,0.007486433255808271,0.5747747747747748,0.01588729979818273,0.6721035994483643,0.023518905101208645,0.6797629978292686,0.002940423390474178,0.6659607843137254,0.04708344943897659,0.40059925093632953,0.04508607325237557,0.0,0.0
mobilenet,none,finetune,celeb_df_frame,0.6205976108296003,0.01199320698198984,0.6002359502359502,0.036161339115671404,0.6692327590346138,0.05200914182929905,0.7280280041514294,0.008689778928770077,0.6260457516339869,0.10371013761371123,0.550936329588015,0.09485760921304127,0.0,0.0
mobilenet,none,finetune_robust,celeb_df_frame,0.6380420552740448,0.013618553998127959,0.6604676104676105,0.004176248116321534,0.760879173280964,0.009053593152853414,0.7076696749648893,0.011873395658503975,0.8240196078431373,0.035021551007723015,0.3480649188514357,0.06239150317539681,0.0,0.0
mobilenet,phase,finetune,celeb_df_frame,0.5252224498788279,0.00712056986922914,0.4321750321750321,0.015265213356460002,0.3758385032877358,0.04416829779244943,0.6729137323796326,0.004133557264287534,0.2621960784313725,0.04226465926196252,0.7568539325842696,0.036708323538227616,0.0,0.0
mobilenet,srm,finetune_robust,celeb_df_frame,0.6562356245869134,,0.6863577863577863,,0.7904376988563075,,0.7039362842701792,,0.9011764705882352,,0.2760299625468165,,0.0,
resnet,complex,finetune,celeb_df_frame,0.5674421972534331,0.041842546451214865,0.5650965250965251,0.07589005827266924,0.6319495464868246,0.1302430135814475,0.6901472032790859,0.013751488788414505,0.6065882352941177,0.19182818028045737,0.4858426966292135,0.14866069219111339,0.0,0.0
resnet,concat,finetune,celeb_df_frame,0.6159207314386428,0.030799312025836117,0.6567567567567567,0.009984426255045182,0.773620757371028,0.012084557196037604,0.6821779626153444,0.011695717217514471,0.8950588235294118,0.044889843385956314,0.20157303370786517,0.07738021686333912,0.0,0.0
resnet,concat_frequency,finetune,celeb_df_frame,0.43440625688477635,0.023089961774053945,0.3371943371943371,0.00236962067432714,0.4919324062581228,0.003477156408702052,0.3339221064142729,0.0016550245486958424,0.9338576779026218,0.012981189122094356,0.02482352941176466,0.008070955993069284,28.850527163758375,16.28112803536414
resnet,dtcwt,finetune_robust,celeb_df_frame,0.6097899317030183,,0.542985842985843,,0.5816939568853811,,0.7285334907052228,,0.4841176470588235,,0.6554307116104869,,0.0,
resnet,frequency_3,finetune,celeb_df_frame,0.5231069986046852,0.0120815256563918,0.6002831402831402,0.020544386669263823,0.7242950586834218,0.02200471225218524,0.6610547391781938,0.0059872091766046045,0.801921568627451,0.04727958837727101,0.21513108614232204,0.03576200514032703,0.0,0.0
resnet,magnitude,finetune,celeb_df_frame,0.5277009620327531,0.016493396451283945,0.6052509652509652,0.024746662082227453,0.7281446964706554,0.027304706023024733,0.6632972354961579,0.005836018802542362,0.8086274509803921,0.0590142333557091,0.2167790262172284,0.043186135421450014,0.0,0.0
resnet,magnitude,scratch,celeb_df_frame,0.5428780568407138,0.023738303730894975,0.6202059202059201,0.034507598257376336,0.7424554235942429,0.04217547020498064,0.6664042375480819,0.005742232522618433,0.8432941176470589,0.09699893180860684,0.19408239700374524,0.08961271940266885,0.0,0.0
resnet,none,finetune,celeb_df_frame,0.6669014467210105,0.028081411411229603,0.597919347919348,0.05460013531614706,0.6369746751261792,0.0983666435558375,0.7698315432394359,0.030628941023315575,0.5615686274509804,0.15314822586294402,0.6673533083645443,0.15334184407541732,0.0,0.0
resnet,none,finetune_robust,celeb_df_frame,0.6130952424665247,0.025959546673714078,0.6455598455598456,0.02057528277278585,0.7476185247316928,0.02530665573231781,0.7007378704026838,0.00731380200015651,0.8038235294117647,0.06430281471294776,0.3432584269662921,0.06854884197461153,0.0,0.0
